step,game/actor_reward_mean,game/reference_reward_mean,game/actor_win_rate,game/reward_margin_mean,actor/dpo_loss,time/step
311,0.033,0.0,1.0,0.033,0.0,58.718
312,0.05,0.0,1.0,0.05,10.162,64.288
313,0.033,0.0,1.0,0.033,8.752,70.056
314,0.033,0.033,0.833,0.0,14.602,61.456
315,0.033,0.0,1.0,0.033,12.108,57.863
316,0.033,0.017,0.833,0.017,9.497,60.446
317,0.017,0.0,1.0,0.017,6.396,50.784
318,0.017,0.0,1.0,0.017,4.779,63.557
319,0.05,0.0,1.0,0.05,20.373,61.962
320,0.033,0.0,1.0,0.033,11.875,61.551
321,0.033,0.0,1.0,0.033,11.299,46.067
322,0.033,0.0,1.0,0.033,0.025,61.827
323,0.033,0.0,1.0,0.033,23.407,56.508
324,0.0,0.0,1.0,0.0,0.0,60.911
325,0.017,0.0,1.0,0.017,21.539,60.098
326,0.0,0.0,1.0,0.0,14.656,63.69
327,0.017,0.0,1.0,0.017,23.469,47.286
328,0.017,0.0,1.0,0.017,3.17,72.264
329,0.0,0.0,1.0,0.0,12.379,53.613
330,0.017,0.017,0.833,0.0,7.375,74.519
331,0.017,0.017,0.833,0.0,5.091,69.529
332,0.017,0.017,0.833,0.0,17.838,64.3
333,0.0,0.0,1.0,0.0,40.389,61.197
334,0.033,0.0,1.0,0.033,2.133,69.919
335,0.0,0.0,1.0,0.0,29.419,70.113
336,0.033,0.017,1.0,0.017,6.923,53.279
337,0.033,0.017,0.833,0.017,19.414,66.062
338,0.017,0.0,1.0,0.017,25.632,52.114
339,0.033,0.0,1.0,0.033,14.153,69.115
340,0.017,0.0,1.0,0.017,19.747,70.309
341,0.017,0.0,1.0,0.017,0.374,50.795
342,0.017,0.0,1.0,0.017,16.58,65.954
343,0.0,0.0,1.0,0.0,12.115,68.939
344,0.017,0.0,1.0,0.017,15.387,66.718
345,0.0,0.0,1.0,0.0,7.849,49.069
346,0.017,0.0,1.0,0.017,0.478,67.796
347,0.017,0.0,1.0,0.017,9.409,53.585
348,0.0,0.0,1.0,0.0,3.251,66.57
349,0.0,0.017,0.833,-0.017,27.663,78.579
350,0.0,0.0,1.0,0.0,10.876,63.559
351,0.0,0.0,1.0,0.0,2.343,87.225
352,0.017,0.0,1.0,0.017,19.205,92.485
353,0.0,0.017,0.833,-0.017,12.569,96.756
354,0.017,0.0,1.0,0.017,0.0,92.175
355,0.017,0.033,0.667,-0.017,3.681,101.477
356,0.017,0.0,1.0,0.017,17.32,99.131
357,0.017,0.0,1.0,0.017,11.948,98.941
358,0.017,0.0,1.0,0.017,11.349,97.65
359,0.0,0.017,0.833,-0.017,11.377,98.005
360,0.0,0.0,1.0,0.0,20.117,98.093
361,0.017,0.0,1.0,0.017,17.226,99.878
362,0.017,0.017,0.833,0.0,9.077,100.483
363,0.017,0.0,1.0,0.017,20.966,97.985
364,0.017,0.0,1.0,0.017,19.693,104.611
365,0.05,0.0,1.0,0.05,18.717,108.713
366,0.017,0.0,1.0,0.017,11.651,97.459
367,0.0,0.0,1.0,0.0,13.655,91.682
368,0.017,0.0,1.0,0.017,0.0,92.35
369,0.017,0.0,1.0,0.017,15.892,106.681
370,0.017,0.0,1.0,0.017,21.928,96.024
371,0.0,0.0,1.0,0.0,8.826,100.301
372,0.0,0.0,1.0,0.0,18.983,101.23
373,0.017,0.0,1.0,0.017,3.886,102.126
374,0.017,0.0,1.0,0.017,4.967,101.837
375,0.017,0.0,1.0,0.017,2.391,101.892
376,0.017,0.0,1.0,0.017,0.0,107.17
377,0.05,0.0,1.0,0.05,12.92,103.89
378,0.017,0.0,1.0,0.017,9.62,95.586
379,0.0,0.0,1.0,0.0,0.0,96.545
380,0.017,0.0,1.0,0.017,0.057,91.63
381,0.017,0.0,1.0,0.017,13.649,96.18
382,0.033,0.0,1.0,0.033,5.591,100.463
383,0.05,0.017,0.833,0.033,5.709,99.289
384,0.033,0.0,1.0,0.033,11.128,99.949
385,0.017,0.0,1.0,0.017,26.169,104.722
386,0.033,0.0,1.0,0.033,10.828,102.897
387,0.017,0.0,1.0,0.017,19.74,104.894
388,0.0,0.017,0.833,-0.017,1.978,100.306
389,0.017,0.033,0.667,-0.017,11.38,104.093
390,0.05,0.0,1.0,0.05,0.0,98.395
391,0.0,0.0,1.0,0.0,27.742,101.539
392,0.017,0.0,1.0,0.017,3.194,100.526
393,0.033,0.017,0.833,0.017,15.373,95.346
394,0.0,0.0,1.0,0.0,20.91,98.066
395,0.033,0.0,1.0,0.033,9.301,93.896
396,0.033,0.0,1.0,0.033,0.0,99.79
397,0.017,0.0,1.0,0.017,5.892,98.568
398,0.017,0.0,1.0,0.017,4.824,98.64
399,0.0,0.0,1.0,0.0,11.514,91.944
400,0.033,0.0,1.0,0.033,4.154,91.979
401,0.033,0.0,1.0,0.033,12.781,97.807
402,0.0,0.0,1.0,0.0,2.765,93.751
403,0.05,0.0,1.0,0.05,6.856,96.921
404,0.0,0.0,1.0,0.0,4.156,95.897
405,0.017,0.0,1.0,0.017,0.0,94.67
406,0.017,0.017,0.833,0.0,3.685,91.344
407,0.017,0.0,1.0,0.017,10.761,89.193
408,0.017,0.0,1.0,0.017,8.157,95.681
409,0.0,0.0,1.0,0.0,25.833,92.067
410,0.033,0.0,1.0,0.033,11.217,91.906
411,0.017,0.0,1.0,0.017,16.515,91.158
412,0.017,0.0,1.0,0.017,6.097,97.388
413,0.0,0.017,0.833,-0.017,21.748,98.715
414,0.033,0.0,1.0,0.033,28.012,94.002
415,0.033,0.0,1.0,0.033,13.207,104.56
416,0.0,0.0,1.0,0.0,6.044,98.201
417,0.0,0.017,0.833,-0.017,18.644,100.748
418,0.033,0.0,1.0,0.033,15.955,90.703
419,0.05,0.0,1.0,0.05,0.0,99.221
420,0.017,0.0,1.0,0.017,8.089,84.401
421,0.0,0.0,1.0,0.0,11.593,81.295
422,0.017,0.0,1.0,0.017,10.218,80.529
423,0.017,0.0,1.0,0.017,28.466,79.927
424,0.017,0.017,0.833,0.0,11.859,82.832
425,0.017,0.0,1.0,0.017,9.172,88.155
426,0.067,0.0,1.0,0.067,32.445,73.892
427,0.05,0.0,1.0,0.05,15.736,67.23
428,0.017,0.0,1.0,0.017,1.648,66.734
429,0.017,0.0,1.0,0.017,2.219,40.589
430,0.0,0.0,1.0,0.0,10.172,66.293
431,0.05,0.0,1.0,0.05,11.356,60.719
432,0.0,0.0,1.0,0.0,12.531,58.494
433,0.017,0.017,0.833,0.0,13.981,62.964
434,0.0,0.0,1.0,0.0,5.244,56.823
435,0.0,0.0,1.0,0.0,26.615,62.236
436,0.033,0.0,1.0,0.033,1.506,56.015
437,0.0,0.017,0.833,-0.017,2.994,66.021
438,0.017,0.0,1.0,0.017,10.861,55.679
439,0.017,0.0,1.0,0.017,10.431,64.216
440,0.033,0.0,1.0,0.033,28.793,56.046
441,0.033,0.0,1.0,0.033,1.409,63.619
442,0.05,0.0,1.0,0.05,0.0,49.95
443,0.017,0.0,1.0,0.017,22.024,66.928
444,0.033,0.0,1.0,0.033,11.706,57.705
445,0.05,0.0,1.0,0.05,0.0,61.262
446,0.017,0.017,1.0,0.0,6.542,54.226
